,Client,Product Code,Description,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
0,P2C,1992-BLA-L,Layered Tee Black L (EACH),3,7,2,0,0,0,0,0,0,0,0,0,12,0.2,8,34.7,15
1,P2C,1992-BLA-M,Layered Tee Black M (EACH),1,4,4,0,0,0,0,0,0,0,0,0,9,0.2,1,5.8,6
2,P2C,1992-BLA-XL,Layered Tee Black Xl (EACH),5,5,2,0,0,0,0,0,0,0,0,0,12,0.2,9,39.0,15
3,P2C,1992-BLA-XXL,Layered Tee Black Xxl (EACH),0,3,2,0,0,0,0,0,0,0,0,0,5,0.1,0,0.0,9
4,P2C,1992-CHA-L,Layered Tee Charcoal L (EACH),3,5,3,0,0,0,0,0,0,0,0,0,11,0.2,7,33.1,12
5,P2C,1992-CHA-M,Layered Tee Charcoal M (EACH),1,4,4,0,0,0,0,0,0,0,0,0,9,0.2,3,17.3,6
6,P2C,1992-CHA-XL,Layered Tee Charcoal Xl (EACH),4,1,3,0,0,0,0,0,0,0,0,0,8,0.2,5,32.5,6
7,P2C,1992-CHA-XXL,Layered Tee Charcoal Xxl (EACH),1,2,2,0,0,0,0,0,0,0,0,0,5,0.1,0,0.0,3
8,P2C,1992-KHA-L,Layered Tee Khaki L (EACH),1,5,2,0,0,0,0,0,0,0,0,0,8,0.2,2,13.0,9
9,P2C,1992-KHA-M,Layered Tee Khaki M (EACH),0,3,4,0,0,0,0,0,0,0,0,0,7,0.1,0,0.0,9
10,P2C,1992-KHA-XL,Layered Tee Khaki Xl (EACH),1,4,2,0,0,0,0,0,0,0,0,0,7,0.1,0,0.0,6
11,P2C,1992-KHA-XXL,Layered Tee Khaki Xxl (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
12,P2C,AIRFRESH1,Plus 2 Air Freshener (Each),357,0,0,0,0,0,0,0,0,0,0,0,357,6.9,1299,189.2,357
13,P2C,BAS-SFTN-BLA-L,Basic STFN Logo Shirt Black Size L (EACH),3,0,0,0,0,0,0,0,0,0,0,0,3,0.1,36,624.0,3
14,P2C,BAS-SFTN-BLA-M,Basic STFN Logo Shirt Black Size M (EACH),2,2,0,0,0,0,0,0,0,0,0,0,4,0.1,16,208.0,2
15,P2C,BAS-SFTN-BLA-S,Basic STFN Logo Shirt Black Size S (EACH),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
16,P2C,BAS-SFTN-BLA-XL,Basic STFN Logo Shirt Black Size XL (EACH),3,0,0,0,0,0,0,0,0,0,0,0,3,0.1,17,294.7,3
17,P2C,BAS-SFTN-BLA-XXL,Basic STFN Logo Shirt Black Size XXL (EACH),3,0,0,0,0,0,0,0,0,0,0,0,3,0.1,12,208.0,3
18,P2C,BAS-SFTN-GRE-L,Basic STFN Logo Shirt Grey Size L (EACH),2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,520.0,2
19,P2C,BAS-SFTN-GRE-M,Basic STFN Logo Shirt Grey Size M (EACH),0,2,0,0,0,0,0,0,0,0,0,0,2,0.0,11,286.0,0
20,P2C,BAS-SFTN-GRE-XL,Basic STFN Logo Shirt Grey Size XL (EACH),1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,780.0,1
21,P2C,BASIC-AG-L,Tall Tee - Army Green Size L (Each),1,80,0,0,0,0,0,0,0,0,0,0,81,1.6,0,0.0,1
22,P2C,BASIC-AG-M,Tall Tee - Army Green Size M (Each),0,40,0,0,0,0,0,0,0,0,0,0,40,0.8,0,0.0,0
23,P2C,BASIC-AG-S,Tall Tee - Army Green Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15
24,P2C,BASIC-AG-XL,Tall Tee - Army Green Size XL (Each),0,40,0,0,0,0,0,0,0,0,0,0,40,0.8,0,0.0,0
25,P2C,BASIC-AG-XXL,Tall Tee - Army Green Size XXL (Each),1,40,0,0,0,0,0,0,0,0,0,0,41,0.8,0,0.0,1
26,P2C,BASIC-BLA-L,Tall Tee - Black Size L (Each),312,463,87,101,72,119,117,53,35,61,77,65,1562,30.0,69,2.3,1092
27,P2C,BASIC-BLA-M,Tall Tee - Black Size M (Each),139,247,75,47,51,75,84,49,18,32,43,28,888,17.1,57,3.3,522
