Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover
P2C,1992-BLA-L,"Layered Tee Black L (EACH)",0,0,7,2,3,7,2,0,0,0,0,0,21,0.4,0,0
P2C,1992-BLA-M,"Layered Tee Black M (EACH)",0,1,0,2,1,4,4,0,0,0,0,0,12,0.2,0,0
P2C,AIRFRESH1,"Plus 2 Air Freshener (Each)",1184,381,1027,539,357,0,0,0,0,0,0,0,3488,67.1,3759,56.0
P2C,BAS-SFTN-BLA-L,"Basic STFN Logo Shirt Black Size L (EACH)",6,10,18,3,3,0,0,0,0,0,0,0,40,0.8,0,0
P2C,BAS-SFTN-BLA-M,"Basic STFN Logo Shirt Black Size M (EACH)",0,5,11,0,2,2,0,0,0,0,0,0,20,0.4,0,0
P2C,BAS-SFTN-BLA-XL,"Basic STFN Logo Shirt Black Size XL (EACH)",0,0,15,2,3,0,0,0,0,0,0,0,20,0.4,0,0
P2C,BAS-SFTN-BLA-XXL,"Basic STFN Logo Shirt Black Size XXL (EACH)",0,2,3,12,3,0,0,0,0,0,0,0,20,0.4,0,0
P2C,BAS-SFTN-GRE-L,"Basic STFN Logo Shirt Grey Size L (EACH)",10,6,3,2,2,0,0,0,0,0,0,0,23,0.4,0,0
P2C,BAS-SFTN-GRE-M,"Basic STFN Logo Shirt Grey Size M (EACH)",8,4,0,2,0,2,0,0,0,0,0,0,16,0.3,0,0
P2C,BAS-SFTN-GRE-XL,"Basic STFN Logo Shirt Grey Size XL (EACH)",6,6,3,1,1,0,0,0,0,0,0,0,17,0.3,0,0
P2C,BASE-JER-M,"Baseball Jersey -  Size M (EACH)",0,0,2,0,6,0,1,4,2,1,2,3,21,0.4,0,0
P2C,BASIC-AG-L,"Tall Tee - Army Green Size L (Each)",147,100,135,2,1,80,0,0,0,0,0,0,465,8.9,85,9.5
P2C,BASIC-AG-M,"Tall Tee - Army Green Size M (Each)",86,44,65,0,0,40,0,0,0,0,0,0,235,4.5,94,20.8
P2C,BASIC-AG-S,"Tall Tee - Army Green Size S (Each)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2C,BASIC-AG-XL,"Tall Tee - Army Green Size XL (Each)",91,77,84,0,0,40,0,0,0,0,0,0,292,5.6,52,9.3
P2C,BASIC-AG-XXL,"Tall Tee - Army Green Size XXL (Each)",55,27,55,2,1,40,0,0,0,0,0,0,180,3.5,118,34.1
P2C,BASIC-AG-XXXL,"Tall Tee - Army Green Size XXXL (Each)",43,23,36,0,0,0,0,0,0,0,0,0,102,2.0,0,0
P2C,BASIC-BLA-L,"Tall Tee - Black Size L (Each)",194,266,157,229,312,463,87,101,72,119,117,53,2170,41.7,394,9.4
P2C,BASIC-BLA-M,"Tall Tee - Black Size M (Each)",208,105,219,136,139,247,75,47,51,75,84,49,1435,27.6,276,10.0
