,Client,Product Code,Description,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,Total Out,Avg/Wk,Current SOH,Weeks Cover,Forecasted Values:
0,P2C,1992-BLA-L,Layered Tee Black L (EACH),0,0,7,2,3,7,2,0,0,0,0,0,21,0.4,0,0,21
1,P2C,1992-BLA-M,Layered Tee Black M (EACH),0,1,0,2,1,4,4,0,0,0,0,0,12,0.2,0,0,12
2,P2C,AIRFRESH1,Plus 2 Air Freshener (Each),1190,381,1027,539,357,0,0,0,0,0,0,0,3494,67.2,3528,52.5,0
3,P2C,BAS-SFTN-BLA-L,Basic STFN Logo Shirt Black Size L (EACH),6,10,18,3,3,0,0,0,0,0,0,0,40,0.8,0,0,18
4,P2C,BAS-SFTN-BLA-M,Basic STFN Logo Shirt Black Size M (EACH),0,5,11,0,2,2,0,0,0,0,0,0,20,0.4,0,0,6
5,P2C,BAS-SFTN-BLA-XL,Basic STFN Logo Shirt Black Size XL (EACH),0,0,15,2,3,0,0,0,0,0,0,0,20,0.4,0,0,15
6,P2C,BAS-SFTN-BLA-XXL,Basic STFN Logo Shirt Black Size XXL (EACH),0,2,3,12,3,0,0,0,0,0,0,0,20,0.4,0,0,15
7,P2C,BAS-SFTN-GRE-L,Basic STFN Logo Shirt Grey Size L (EACH),10,6,3,2,2,0,0,0,0,0,0,0,23,0.4,0,0,0
8,P2C,BAS-SFTN-GRE-M,Basic STFN Logo Shirt Grey Size M (EACH),8,4,0,2,0,2,0,0,0,0,0,0,16,0.3,0,0,15
9,P2C,BAS-SFTN-GRE-XL,Basic STFN Logo Shirt Grey Size XL (EACH),6,6,3,1,1,0,0,0,0,0,0,0,17,0.3,0,0,18
10,P2C,BASE-JER-M,Baseball Jersey -  Size M (EACH),0,0,2,0,6,0,1,4,2,1,2,3,21,0.4,0,0,15
11,P2C,BASIC-AG-L,Tall Tee - Army Green Size L (Each),149,100,135,2,1,80,0,0,0,0,0,0,467,9.0,62,6.9,280
12,P2C,BASIC-AG-M,Tall Tee - Army Green Size M (Each),86,44,65,0,0,40,0,0,0,0,0,0,235,4.5,80,17.7,109
13,P2C,BASIC-AG-S,Tall Tee - Army Green Size S (Each),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15
14,P2C,BASIC-AG-XL,Tall Tee - Army Green Size XL (Each),91,77,84,0,0,40,0,0,0,0,0,0,292,5.6,47,8.4,148
